"name","id","group","freq","modularity_class","text"
"21st Century Wire","node_364","media",11,4,"y"
"Aaron Mate","node_129","journalist",13,6,"y"
"African People’s Socialist Party","node_341","political party",17,1,"y"
"Akile Anai","node_347","political activist",15,1,""
"Alan MacLeod","node_145","journalist",3,0,""
"Alex Bruesewitz","node_225","political advisor",3,11,""
"Alex Jones","node_86","journalist",12,4,"y"
"Alex Lorusso","node_427","political expert",2,10,""
"Alexander Kolodin","node_313","politician",3,11,""
"Alexander Mooney","node_200","politician",2,11,""
"Alexander Rubinstein","node_131","journalist",3,0,""
"Alexander Velez-Green","node_57","political expert",6,2,""
"Alexandria Ocasio-Cortez","node_233","politician",18,9,""
"American Renaissance","node_115","media",4,11,""
"American Student Union","node_256","NGO",2,0,""
"Anatol Lieven","node_18","political expert",15,2,""
"Andrew Bacevich","node_24","security expert",10,2,""
"Andrew Clyde","node_160","politician",1,11,""
"Andrew Napolitano","node_41","political expert",8,6,""
"Andrew Ogles","node_204","politician",4,11,""
"Andrew Tate","node_118","social media influencer",2,3,""
"Andrii Telizhenko","node_130","political expert",5,10,""
"Andy Biggs","node_78","politician",1,11,""
"Angela McArdle","node_276","politician",17,0,"y"
"Ann Garrison","node_143","journalist",4,1,""
"Ann Wright","node_330","security expert",12,6,"y"
"Anna Paulina Luna","node_81","politician",10,11,""
"Antiwar.com","node_71","media",22,2,"y"
"Anya Parampil","node_137","journalist",11,0,"y"
"August Pfluger","node_205","politician",2,11,""
"Ayanna Pressley","node_230","politician",16,9,""
"Barry Moore","node_201","politician",4,11,""
"Before It`s News","node_363","media",8,7,""
"Ben Cline","node_158","politician",5,11,""
"Ben Cohen","node_417","businessman",4,6,"y"
"Ben Norton","node_146","journalist",4,0,""
"Ben Shapiro","node_4","journalist",6,10,"y"
"Ben Swann","node_245","journalist",5,4,""
"Benjamin Schwarz","node_45","journalist",3,2,""
"Benny Johnson","node_108","journalist",4,10,""
"Beth Van Duyne","node_36","politician",3,11,""
"Bill Hagerty","node_369","politician",3,11,""
"Bill Posey","node_206","politician",6,11,""
"Blake Masters","node_28","politician",6,10,"y"
"Bob Good","node_180","politician",2,11,""
"Bob Richard","node_338","political activist",1,1,""
"Brad Finstad","node_169","politician",3,11,""
"Bradley Blankenship","node_240","journalist",2,6,""
"Bradley Devlin","node_49","journalist",4,10,""
"Breitbart News","node_103","media",11,10,"y"
"Brett Cooper","node_3","journalist",4,10,"y"
"Brian Babin","node_37","politician",1,11,""
"Brian Berletic","node_428","political expert",2,4,""
"Brian Mast","node_194","politician",1,11,""
"Brigitte Gabriel","node_409","political activist",2,10,""
"Bring Our Troops Home","node_311","NGO",4,10,"y"
"Byron Donalds","node_164","politician",5,11,""
"C.T. Weber","node_340","political activist",2,1,""
"Caleb Maupin","node_246","journalist",16,0,""
"Candance Owens","node_272","political activist",4,10,"y"
"Carol Miller","node_197","politician",3,11,""
"Cato Institute","node_43","think tank",16,2,"y"
"Center for Political Innovation","node_279","NGO",17,0,"y"
"Charles Koch","node_15","businessman",15,2,"y"
"Charlie Kirk","node_111","journalist",7,7,"y"
"Chas Freeman","node_372","political expert",3,6,""
"Chase Geiser","node_85","journalist",4,4,""
"Chip Roy","node_209","politician",3,11,""
"Chris Hedges","node_64","journalist",16,0,""
"Christian Reagan","node_167","politician",3,11,""
"Christian Sorensen","node_326","security expert",2,6,""
"Christian Whiton","node_52","political expert",3,10,""
"Christopher Caldwell","node_350","journalist",4,2,""
"Christopher Layne","node_44","security expert",3,2,""
"Chuck Edwards","node_166","politician",3,11,""
"Chuck Spinney","node_327","security expert",2,6,""
"Cindy Hyde-Smith","node_397","politician",1,11,""
"Claudia Tenney","node_215","politician",1,11,""
"Clay Higgins","node_172","politician",3,11,""
"Clayton Morris","node_285","social media influencer",2,5,""
"Clint Ehrlich","node_89","political expert",2,10,""
"Codepink","node_63","think tank",40,6,"y"
"Coleen Rowley","node_325","security expert",2,6,""
"Common Dreams","node_414","media",8,6,"y"
"Compact Mag","node_351","media",10,2,"y"
"Concerned Veterans for America","node_368","NGO",8,2,"y"
"Conservative Action News","node_355","media",2,10,""
"Conservative Review","node_310","media",7,10,""
"Coreco Ja'Quan Pearson","node_306","political activist",2,10,""
"Cori Bush","node_232","politician",16,9,"y"
"Cornel West","node_282","political activist",4,0,""
"Cory Mills","node_83","politician",3,11,""
"Cory Popp","node_141","social media influencer",3,0,""
"Crystal Zevon","node_243","writer",1,6,""
"Cynthia Lazaroff","node_356","political activist",6,6,""
"Dan Bishop","node_91","politician",4,11,""
"Dan Bongino","node_121","journalist",3,10,""
"Dan Caldwell","node_12","political expert",9,2,"y"
"Dan Cohen","node_142","journalist",6,0,"y"
"Dan McKnight","node_312","security expert",16,0,""
"Daniel Kovalik","node_384","scholar",3,1,"y"
"Daniel L. Davis","node_16","security expert",6,2,""
"Daniel McAdams","node_69","political expert",6,7,""
"Daniel Meuser","node_196","politician",4,8,""
"Darren Bailey","node_155","politician",1,11,""
"David Bromwich","node_375","scholar",2,9,""
"David Campbell","node_339","political activist",2,1,""
"David Hendrickson","node_434","political expert",2,15,""
"David Sacks","node_6","businessman",6,10,""
"David Swanson","node_67","political expert",6,6,""
"Deb Fischer","node_393","politician",1,11,""
"Debbie Lesko","node_191","politician",1,11,""
"Deborah Armstrong","node_150","journalist",2,0,""
"Defense Priorities","node_236","think tank",6,2,""
"Dennis Fritz","node_318","security expert",4,6,""
"Dennis Laich","node_322","security expert",2,6,""
"Derrick Van Orden","node_217","politician",3,11,""
"Diana Harshbarger","node_183","politician",1,11,""
"Diane Sare","node_286","politician",1,0,""
"Dimitri K. Simes","node_53","political expert",5,2,""
"Dmitry Orlov","node_432","economic expert",1,0,""
"Donald Trump","node_11","politician",133,11,"y"
"Doug Bandow","node_253","political expert",4,2,""
"Douglas Macgregor","node_100","security expert",11,7,"y"
"Eisenhower Media Network","node_317","think tank",31,6,"y"
"Eli Crane","node_173","politician",4,11,""
"Elon Musk","node_58","businessman",8,10,"y"
"Emma Ashford","node_404","political expert",4,2,"y"
"Environmentalists Against War","node_257","NGO",2,0,""
"Eric Burlison","node_77","politician",1,11,""
"Eric Garris","node_332","political activist",2,2,""
"Eric Greitens","node_27","politician",2,11,""
"Eric Schmitt","node_398","politician",1,11,""
"Erin Houchin","node_185","politician",1,11,""
"Eugene Puryear","node_281","journalist",2,1,""
"Eva Bartlett","node_430","journalist",3,0,"y"
"Experiential Peace Organizing Committee","node_258","NGO",3,6,""
"Fellowship of Reconciliation","node_259","NGO",3,6,""
"Fiorella Isabel","node_413","journalist",1,0,""
"Fox News","node_378","media",30,10,"y"
"G. Kline Preston IV","node_302","political activist",1,11,""
"Gareth Porter","node_147","journalist",6,6,""
"Garland Nixon","node_305","journalist",7,0,""
"Gavin Mario Wax","node_84","political activist",2,10,""
"George Beebe","node_51","political expert",6,2,""
"George Demetrios Papadopoulos","node_114","political expert",5,11,""
"George Eliason","node_435","journalist",1,0,""
"George Koo","node_244","journalist",2,0,""
"George Santos","node_210","politician",2,12,""
"Gerald Celente","node_275","political expert",2,0,""
"Glenn Beck","node_308","social media influencer",6,10,"y"
"Glenn Greenwald","node_97","journalist",3,10,""
"Glenn Grothman","node_182","politician",1,11,""
"Global Research","node_361","think tank",16,4,"y"
"Graham E. Fuller","node_241","political expert",2,13,""
"Grant Cardone","node_408","businessman",1,11,"y"
"Greg Casar","node_229","politician",16,9,""
"Greg Murphy","node_202","politician",2,11,""
"Greg Steube","node_214","politician",6,11,""
"Gregory Hood","node_112","journalist",2,11,""
"Gus Bilirakis","node_79","politician",1,11,""
"Harriet Hageman","node_410","politician",4,11,""
"Harry J. Kazianis","node_55","political expert",3,2,""
"Heather Cordasco","node_96","political activist",2,2,""
"Heather Kaiser","node_136","security expert",4,0,""
"Henry Heller","node_374","scholar",4,14,""
"Ilhan Omar","node_231","politician",16,9,""
"Information Liberation","node_407","media",3,4,""
"InfoWars","node_87","media",26,4,"y"
"Jack Matlock","node_323","security expert",4,6,""
"Jack Posobiec","node_74","political activist",9,4,""
"Jackson Hinkle","node_88","social media influencer",13,0,"y"
