"name","id","group","freq","modularity_class","text","group_size"
"21st Century Wire","node_364","media",11,1,"y",24
"Aaron Mate","node_129","journalist",13,2,"y",40
"African People’s Socialist Party","node_341","political party",17,5,"y",21
"Akile Anai","node_347","political activist",15,5,"",21
"Alan MacLeod","node_145","journalist",3,4,"",63
"Alex Bruesewitz","node_225","political advisor",3,6,"",124
"Alex Jones","node_86","journalist",12,1,"y",24
"Alex Lorusso","node_427","political expert",2,3,"",48
"Alexander Kolodin","node_313","politician",3,6,"",124
"Alexander Mooney","node_200","politician",2,6,"",124
"Alexander Rubinstein","node_131","journalist",3,4,"",63
"Alexander Velez-Green","node_57","political expert",6,7,"",31
"Alexandria Ocasio-Cortez","node_233","politician",18,8,"",9
"American Renaissance","node_115","media",4,6,"",124
"American Student Union","node_256","NGO",2,9,"",49
"Anatol Lieven","node_18","political expert",15,2,"",40
"Andrew Bacevich","node_24","security expert",10,9,"",49
"Andrew Clyde","node_160","politician",1,6,"",124
"Andrew Napolitano","node_41","political expert",8,9,"",49
"Andrew Ogles","node_204","politician",4,6,"",124
"Andrii Telizhenko","node_130","political expert",5,4,"",63
"Andy Biggs","node_78","politician",1,6,"",124
"Angela McArdle","node_276","politician",17,4,"y",63
"Ann Garrison","node_143","journalist",4,5,"",21
"Ann Wright","node_330","security expert",12,9,"y",49
"Anna Paulina Luna","node_81","politician",10,6,"",124
"Antiwar.com","node_71","media",22,7,"y",31
"Anya Parampil","node_137","journalist",11,4,"y",63
"August Pfluger","node_205","politician",2,6,"",124
"Ayanna Pressley","node_230","politician",16,8,"",9
"Before It`s News","node_363","media",8,4,"",63
"Ben Cline","node_158","politician",5,6,"",124
"Ben Cohen","node_417","businessman",4,9,"y",49
"Ben Norton","node_146","journalist",4,4,"",63
"Ben Shapiro","node_4","journalist",6,3,"y",48
"Ben Swann","node_245","journalist",5,1,"",24
"Benjamin Schwarz","node_45","journalist",3,7,"",31
"Benny Johnson","node_108","journalist",4,3,"",48
"Beth Van Duyne","node_36","politician",3,6,"",124
"Bill Hagerty","node_369","politician",3,6,"",124
"Bill Posey","node_206","politician",6,6,"",124
"Blake Masters","node_28","politician",6,3,"y",48
"Bob Good","node_180","politician",2,6,"",124
"Bob Richard","node_338","political activist",1,5,"",21
"Brad Finstad","node_169","politician",3,6,"",124
"Bradley Blankenship","node_240","journalist",2,2,"",40
"Bradley Devlin","node_49","journalist",4,3,"",48
"Breitbart News","node_103","media",11,3,"y",48
"Brett Cooper","node_3","journalist",4,3,"y",48
"Brian Babin","node_37","politician",1,6,"",124
"Brian Berletic","node_428","political expert",2,1,"",24
"Brian Mast","node_194","politician",1,6,"",124
"Brigitte Gabriel","node_409","political activist",2,3,"",48
"Bring Our Troops Home","node_311","NGO",4,3,"y",48
"Byron Donalds","node_164","politician",5,6,"",124
"C.T. Weber","node_340","political activist",2,5,"",21
"Caleb Maupin","node_246","journalist",16,4,"",63
"Candance Owens","node_272","political activist",4,3,"y",48
"Carol Miller","node_197","politician",3,6,"",124
"Cato Institute","node_43","think tank",16,2,"y",40
"Center for Political Innovation","node_279","NGO",17,4,"y",63
"Charles Koch","node_15","businessman",15,2,"y",40
"Charlie Kirk","node_111","journalist",7,3,"y",48
"Chas Freeman","node_372","political expert",3,9,"",49
"Chase Geiser","node_85","journalist",4,1,"",24
"Chip Roy","node_209","politician",3,6,"",124
"Chris Hedges","node_64","journalist",16,4,"",63
"Christian Reagan","node_167","politician",3,6,"",124
"Christian Sorensen","node_326","security expert",2,9,"",49
"Christian Whiton","node_52","political expert",3,3,"",48
"Christopher Caldwell","node_350","journalist",4,7,"",31
"Christopher Layne","node_44","security expert",3,7,"",31
"Chuck Edwards","node_166","politician",3,6,"",124
"Chuck Spinney","node_327","security expert",2,9,"",49
"Cindy Hyde-Smith","node_397","politician",1,6,"",124
"Claudia Tenney","node_215","politician",1,6,"",124
"Clay Higgins","node_172","politician",3,6,"",124
"Clint Ehrlich","node_89","political expert",2,4,"",63
"Codepink","node_63","think tank",40,9,"y",49
"Coleen Rowley","node_325","security expert",2,9,"",49
"Common Dreams","node_414","media",8,2,"y",40
"Compact Mag","node_351","media",10,7,"y",31
"Concerned Veterans for America","node_368","NGO",8,2,"y",40
"Conservative Action News","node_355","media",2,3,"",48
"Conservative Review","node_310","media",7,3,"",48
"Coreco Ja'Quan Pearson","node_306","political activist",2,3,"",48
"Cori Bush","node_232","politician",16,8,"y",9
"Cornel West","node_282","political activist",4,4,"",63
"Cory Mills","node_83","politician",3,6,"",124
"Cory Popp","node_141","social media influencer",3,4,"",63
"Crystal Zevon","node_243","writer",1,9,"",49
"Cynthia Lazaroff","node_356","political activist",6,2,"",40
"Dan Bongino","node_121","journalist",3,3,"",48
"Dan Caldwell","node_12","political expert",9,2,"y",40
"Dan Cohen","node_142","journalist",6,4,"y",63
"Dan McKnight","node_312","security expert",16,4,"",63
"Daniel Kovalik","node_384","scholar",3,5,"y",21
"Daniel L. Davis","node_16","security expert",6,2,"",40
"Daniel McAdams","node_69","political expert",6,4,"",63
"Darren Bailey","node_155","politician",1,6,"",124
"David Bromwich","node_375","scholar",2,2,"",40
"David Campbell","node_339","political activist",2,5,"",21
"David Sacks","node_6","businessman",6,3,"",48
"David Swanson","node_67","political expert",6,9,"",49
"Deb Fischer","node_393","politician",1,6,"",124
"Debbie Lesko","node_191","politician",1,6,"",124
"Deborah Armstrong","node_150","journalist",2,4,"",63
"Defense Priorities","node_236","think tank",6,2,"",40
"Dennis Fritz","node_318","security expert",4,9,"",49
"Dennis Laich","node_322","security expert",2,9,"",49
"Derrick Van Orden","node_217","politician",3,6,"",124
"Diana Harshbarger","node_183","politician",1,6,"",124
"Diane Sare","node_286","politician",1,4,"",63
"Dimitri K. Simes","node_53","political expert",5,2,"",40
"Dmitry Orlov","node_432","economic expert",1,4,"",63
"Donald Trump","node_11","politician",133,6,"y",124
"Doug Bandow","node_253","political expert",4,2,"",40
"Douglas Macgregor","node_100","security expert",11,3,"y",48
"Eisenhower Media Network","node_317","think tank",31,9,"y",49
"Eli Crane","node_173","politician",4,6,"",124
"Elon Musk","node_58","businessman",8,3,"y",48
"Emma Ashford","node_404","political expert",4,2,"y",40
"Environmentalists Against War","node_257","NGO",2,9,"",49
"Eric Burlison","node_77","politician",1,6,"",124
"Eric Garris","node_332","political activist",2,7,"",31
"Eric Greitens","node_27","politician",2,6,"",124
"Eric Schmitt","node_398","politician",1,6,"",124
"Erin Houchin","node_185","politician",1,6,"",124
"Eugene Puryear","node_281","journalist",2,5,"",21
"Eva Bartlett","node_430","journalist",3,4,"y",63
"Experiential Peace Organizing Committee","node_258","NGO",3,9,"",49
"Fellowship of Reconciliation","node_259","NGO",3,9,"",49
"Fiorella Isabel","node_413","journalist",1,4,"",63
"Fox News","node_378","media",30,3,"y",48
"G. Kline Preston IV","node_302","political activist",1,6,"",124
"Gareth Porter","node_147","journalist",6,9,"",49
"Garland Nixon","node_305","journalist",7,4,"",63
"Gavin Mario Wax","node_84","political activist",2,3,"",48
"George Beebe","node_51","political expert",6,2,"",40
"George Demetrios Papadopoulos","node_114","political expert",5,6,"",124
"George Eliason","node_435","journalist",1,4,"",63
"George Koo","node_244","journalist",2,4,"",63
"Gerald Celente","node_275","political expert",2,4,"",63
"Glenn Beck","node_308","social media influencer",6,3,"y",48
"Glenn Greenwald","node_97","journalist",3,3,"",48
"Glenn Grothman","node_182","politician",1,6,"",124
"Global Research","node_361","think tank",16,1,"y",24
"Grant Cardone","node_408","businessman",1,6,"y",124
"Greg Casar","node_229","politician",16,8,"",9
"Greg Steube","node_214","politician",6,6,"",124
"Gregory Hood","node_112","journalist",2,6,"",124
"Gus Bilirakis","node_79","politician",1,6,"",124
"Harriet Hageman","node_410","politician",4,6,"",124
"Harry J. Kazianis","node_55","political expert",3,2,"",40
"Heather Cordasco","node_96","political activist",2,7,"",31
"Heather Kaiser","node_136","security expert",4,4,"",63
"Ilhan Omar","node_231","politician",16,8,"",9
"Information Liberation","node_407","media",3,1,"",24
"InfoWars","node_87","media",26,1,"y",24
"Jack Matlock","node_323","security expert",4,9,"",49
"Jack Posobiec","node_74","political activist",9,1,"",24
"Jackson Hinkle","node_88","social media influencer",13,4,"y",63
"Jake LaTurner","node_190","politician",1,6,"",124
"Jake Morphonios","node_300","journalist",2,4,"",63
"Jamaal Bowman","node_227","politician",16,8,"",9
"James Carden","node_288","journalist",9,2,"",40
"James Comer","node_162","politician",1,6,"",124
"James David Vance","node_29","politician",43,6,"y",124
"James Lankford","node_402","politician",1,6,"",124
"Jamie White","node_101","journalist",2,1,"",24
"Jason Smith","node_212","politician",2,6,"",124
"Jeanine Pirro","node_122","journalist",1,3,"",48
"Jeff Clark","node_224","political advisor",5,7,"",31
"Jeff Duncan","node_165","politician",1,6,"",124
"Jefferson Van Drew","node_80","politician",1,6,"",124
"Jeffrey David Sachs","node_426","economic expert",10,9,"y",49
"Jeremy Loffredo","node_138","journalist",4,4,"",63
"Jerry Carl","node_157","politician",1,6,"",124
"Jesse Watters","node_124","journalist",2,3,"",48
"Jill Stein","node_48","political activist",17,4,"y",63
"Jim Banks","node_34","politician",1,6,"",124
"Jim Garrison","node_411","political expert",1,9,"",49
"Jim Jordan","node_10","politician",7,6,"y",124
"Jimmy Dore","node_357","social media influencer",18,4,"",63
"Jodie Evans","node_226","political activist",3,9,"",49
"Joe Pags Pagliarulo","node_296","journalist",2,3,"",48
"John Barrasso","node_386","politician",1,6,"",124
"John Laughland","node_294","political expert",4,7,"",31
"John Mearsheimer","node_132","political expert",3,4,"",63
"John Moolenaar","node_199","politician",1,6,"",124
"John Rose","node_207","politician",5,6,"",124
"John Thompson Parker","node_333","political activist",2,5,"",21
"Jordan Schachtel","node_416","journalist",5,3,"",48
"Josh Brecheen","node_93","politician",1,6,"",124
"Josh Hawley","node_90","politician",3,7,"",31
"Juanita Broaddrick","node_126","social media influencer",1,6,"",124
"Just World Educational","node_260","think tank",3,9,"",49
"Justin Logan","node_107","political expert",2,2,"",40
"Karen Kwiatkowski","node_321","security expert",2,9,"",49
"Kari Lake","node_38","politician",2,6,"",124
"Kat Cammack","node_156","politician",1,6,"",124
"Katie Britt","node_388","politician",1,6,"",124
"Katie Halper","node_66","journalist",2,2,"",40
"Katrina vanden Heuvel","node_292","journalist",9,2,"",40
"Keith Self","node_211","politician",1,6,"",124
"Kelen McBreen","node_102","journalist",2,1,"y",24
"Ken Cuccinelli","node_104","politician",2,7,"",31
"Kevin Akin","node_334","political activist",2,5,"",21
"Kevin Gosztola","node_144","journalist",2,4,"",63
"Kevin Hern","node_184","politician",1,6,"",124
"Kevin Roberts","node_56","political expert",3,7,"",31
"Kingsley Wilson","node_95","journalist",3,7,"",31
"Kit Klarenberg","node_135","journalist",5,1,"",24
"Kyle Anzalone","node_315","journalist",6,7,"",31
"Kyle Becker","node_299","journalist",4,3,"",48
"Lance Gooden","node_181","politician",4,6,"",124
"Laura Loomer","node_72","politician",2,1,"",24
"Lauren Boebert","node_31","politician",4,6,"",124
"Lawrence Wilkerson","node_329","security expert",4,9,"",49
"Lee Camp","node_280","journalist",2,9,"",49
"Lee Stranahan","node_307","journalist",2,3,"",48
"Lev Golinkin","node_249","journalist",7,9,"",49
"Liam Cosgrove","node_134","journalist",6,3,"",48
"Libertarian Party","node_403","political party",12,4,"y",63
"Lindsey Graham","node_392","politician",1,6,"",124
"Lindsey Snell","node_140","journalist",3,4,"",63
"Lisa Boothe","node_123","journalist",2,3,"",48
"Lisa McClain","node_195","politician",1,6,"",124
"Lora Ries","node_59","security expert",2,7,"",31
"Lucas Gage","node_429","political activist",4,4,"",63
"Madison Cawthorn","node_235","politician",4,6,"",124
"MAGA","node_379","political movement",22,6,"y",124
"Marcy Winograd","node_62","political activist",6,9,"y",49
"Marjorie Taylor Greene","node_33","politician",16,6,"y",124
"Mark Alford","node_133","politician",1,6,"",124
"Mark Ames","node_293","journalist",2,4,"",63
"Markwayne Mullin","node_394","politician",1,6,"",124
"Marsha Blackburn","node_385","politician",1,6,"",124
"Marsha Feinland","node_335","political activist",1,5,"",21
"Mary Miller","node_75","politician",1,6,"",124
"Massachusetts Peace Action","node_250","NGO",20,9,"y",49
"Matt Gaetz","node_32","politician",12,6,"y",124
"Matt Taibbi","node_270","journalist",8,2,"",40
"Matt Walsh","node_297","social media influencer",6,3,"",48
"Matthew Hoh","node_319","security expert",8,9,"",49
"Matthew Rosendale","node_208","politician",6,6,"",124
"Matthew Schmitz","node_349","journalist",8,7,"",31
"Max Blumenthal","node_220","journalist",36,4,"y",63
"Max Miller","node_198","politician",1,6,"",124
"Medea Benjamin","node_61","political activist",22,9,"y",49
"Melissa Garriga","node_242","political activist",1,9,"",49
"Micah Meadowcroft","node_99","political expert",4,7,"",31
"Michael Cloud","node_159","politician",1,6,"",124
"Michael Knowles","node_5","journalist",4,6,"",124
"Michel Chossudovsky","node_367","media",5,1,"y",24
"Michelle Fischbach","node_174","politician",4,6,"",124
"Mike Bost","node_154","politician",1,6,"",124
